epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.27,1.43769,1.74591,1.52832,0.37552,0.49239,0.43088,0.23988,1.83388,2.34834,1.88814,0.0672931,0.000599516,0.000599516
2,308.486,1.39326,1.46227,1.49774,0.52363,0.66757,0.63228,0.3721,1.60796,1.54654,1.66573,0.0345559,0.00119568,0.00119568
3,455.366,1.36202,1.36645,1.47906,0.70489,0.64263,0.70194,0.40844,1.60606,1.22294,1.63401,0.00181488,0.001788,0.001788
4,601.123,1.32438,1.25817,1.44324,0.7387,0.6703,0.72319,0.42699,1.57463,1.11587,1.60157,0.00178272,0.00178272,0.00178272
5,746.434,1.2977,1.19953,1.41996,0.71822,0.65357,0.70014,0.42387,1.5394,1.23765,1.60026,0.00177696,0.00177696,0.00177696
6,887.546,1.26408,1.14392,1.40112,0.6364,0.69949,0.68603,0.42686,1.50166,1.19116,1.56608,0.0017712,0.0017712,0.0017712
7,1028.54,1.23156,1.09804,1.38205,0.73594,0.70355,0.73809,0.4451,1.51909,1.05588,1.59457,0.00176544,0.00176544,0.00176544
8,1175.21,1.23828,1.08484,1.38011,0.77461,0.72029,0.77493,0.47922,1.45808,0.97543,1.51874,0.00175968,0.00175968,0.00175968
9,1319.52,1.21314,1.0458,1.3636,0.73123,0.7317,0.76605,0.47706,1.44645,1.06955,1.49812,0.00175392,0.00175392,0.00175392
10,1465.66,1.20178,1.0291,1.35612,0.76636,0.74364,0.78806,0.49136,1.44235,0.97567,1.49746,0.00174816,0.00174816,0.00174816
11,1611.15,1.18808,1.0063,1.34509,0.7977,0.75789,0.8076,0.50639,1.43606,0.89759,1.48008,0.0017424,0.0017424,0.0017424
12,1796.64,1.18251,0.99569,1.34337,0.79557,0.75537,0.80305,0.4995,1.43674,0.89437,1.49402,0.00173664,0.00173664,0.00173664
13,1960.32,1.17847,0.97427,1.332,0.7955,0.74182,0.80377,0.50653,1.42885,0.89634,1.48494,0.00173088,0.00173088,0.00173088
14,2104.26,1.16947,0.96815,1.33043,0.8008,0.7683,0.81352,0.51414,1.40861,0.87435,1.46627,0.00172512,0.00172512,0.00172512
15,2248.74,1.15777,0.94344,1.32243,0.80466,0.7658,0.82131,0.52326,1.39268,0.86426,1.46149,0.00171936,0.00171936,0.00171936
16,2392.96,1.15984,0.93798,1.32112,0.81549,0.76248,0.81652,0.51717,1.40657,0.86567,1.46287,0.0017136,0.0017136,0.0017136
17,2535.87,1.15238,0.94461,1.31513,0.81875,0.76404,0.82153,0.53027,1.38472,0.82718,1.45469,0.00170784,0.00170784,0.00170784
18,2678.49,1.13405,0.91831,1.30562,0.81396,0.76703,0.8277,0.53457,1.36882,0.84049,1.43769,0.00170208,0.00170208,0.00170208
19,2822.6,1.1314,0.89281,1.30165,0.82997,0.77446,0.83647,0.53543,1.37579,0.79591,1.44278,0.00169632,0.00169632,0.00169632
20,2966.47,1.12327,0.89912,1.29776,0.81046,0.78631,0.83688,0.5354,1.37701,0.80058,1.44745,0.00169056,0.00169056,0.00169056
21,3108.66,1.12463,0.89189,1.29326,0.81453,0.79684,0.84016,0.54064,1.36129,0.79159,1.4344,0.0016848,0.0016848,0.0016848
22,3246.66,1.11893,0.88217,1.29383,0.80756,0.8058,0.84303,0.54966,1.35047,0.77795,1.42836,0.00167904,0.00167904,0.00167904
23,3385.13,1.10664,0.86813,1.28287,0.82314,0.79404,0.84459,0.54946,1.35691,0.7782,1.42482,0.00167328,0.00167328,0.00167328
